,official,classifier,neighbour_vote,cluster
465,Experimental,Folk,Folk,0
466,Rock,Electronic,Electronic,0
482,Experimental,Soundtrack,Soundtrack,0
483,Experimental,Hip-Hop,Hip-Hop,0
485,Singer-Songwriter,Folk,Folk,0
495,Psych-Folk,Folk,Folk,0
499,International,Hip-Hop,Hip-Hop,0
503,Rock,Folk,Folk,0
509,Electronic,Folk,Folk,0
521,New Age,Pop,Pop,0
523,Instrumental,Soundtrack,Soundtrack,0
524,Indie-Rock,Hip-Hop,Hip-Hop,0
525,Noise,Folk,Folk,0
528,Electronic,Hip-Hop,Hip-Hop,0
529,Hip-Hop,Soundtrack,Soundtrack,0
530,House,Electronic,Electronic,0
536,Folk,Soundtrack,Soundtrack,0
539,Folk,Pop,Pop,0
542,House,Hip-Hop,Hip-Hop,0
550,Singer-Songwriter,Folk,Folk,0
557,Rock,Pop,Pop,0
558,Avant-Garde,Electronic,Electronic,0
559,Punk,Metal,Metal,0
561,Instrumental,Soundtrack,Soundtrack,0
563,International,Folk,Folk,0
564,Rock,Pop,Pop,0
568,Synth Pop,Hip-Hop,Hip-Hop,0
575,Latin America,Hip-Hop,Hip-Hop,0
576,Experimental,Hip-Hop,Hip-Hop,0
577,House,Electronic,Electronic,0
585,Experimental Pop,Soundtrack,Soundtrack,0
591,Electronic,Folk,Folk,0
592,Ambient,Soundtrack,Soundtrack,0
596,Avant-Garde,Soundtrack,Soundtrack,0
605,Pop,Folk,Folk,0
611,New Age,Soundtrack,Soundtrack,0
613,Psych-Folk,Folk,Folk,0
615,Experimental Pop,Soundtrack,Soundtrack,0
616,Experimental Pop,Hip-Hop,Hip-Hop,0
632,Instrumental,Folk,Folk,0
636,Electronic,Soundtrack,Soundtrack,0
646,Indie-Rock,Folk,Folk,0
650,Singer-Songwriter,Pop,Pop,0
652,Experimental,Soundtrack,Soundtrack,0
654,Experimental Pop,Hip-Hop,Hip-Hop,0
661,Experimental Pop,Electronic,Electronic,0
664,Electronic,Reggae - Dub,Reggae - Dub,0
665,Avant-Garde,Folk,Folk,0
669,Europe,International,International,0
673,Reggae - Dub,Hip-Hop,Hip-Hop,0
681,Rock,Pop,Pop,0
686,Experimental Pop,Folk,Folk,0
688,Post-Rock,Folk,Folk,0
694,Avant-Garde,Soundtrack,Soundtrack,0
696,Pop,Folk,Folk,0
703,Pop,Folk,Folk,0
705,Electronic,Hip-Hop,Hip-Hop,0
710,Instrumental,Soundtrack,Soundtrack,0
718,Instrumental,Folk,Folk,0
722,Pop,Folk,Folk,0
723,Instrumental,Folk,Folk,0
724,Post-Rock,Soundtrack,Soundtrack,0
725,Latin America,Experimental,Experimental,0
728,Pop,Folk,Folk,0
729,Hip-Hop,Electronic,Electronic,0
732,Soundtrack,Experimental Pop,Experimental Pop,0
735,Soundtrack,Hip-Hop,Hip-Hop,0
744,Pop,Hip-Hop,Hip-Hop,0
745,Reggae - Dub,Hip-Hop,Hip-Hop,0
746,Metal,Rock,Rock,0
751,Experimental,Pop,Pop,0
755,Europe,Soundtrack,Soundtrack,0
763,House,Electronic,Electronic,0
765,Instrumental,Soundtrack,Soundtrack,0
781,Avant-Garde,Electronic,Electronic,0
783,Indie-Rock,Rock,Rock,0
785,Ambient Electronic,Hip-Hop,Hip-Hop,0
788,Ambient Electronic,Hip-Hop,Hip-Hop,0
794,Avant-Garde,Soundtrack,Soundtrack,0
795,Ambient Electronic,Hip-Hop,Hip-Hop,0
802,Reggae - Dub,Electronic,Electronic,0
806,International,Folk,Folk,0
809,Soundtrack,Hip-Hop,Hip-Hop,0
813,Hip-Hop,Reggae - Dub,Reggae - Dub,0
814,Electronic,Hip-Hop,Hip-Hop,0
817,International,Pop,Pop,0
822,Soundtrack,Folk,Folk,0
824,Hip-Hop,Experimental Pop,Experimental Pop,0
826,Pop,Hip-Hop,Hip-Hop,0
834,Experimental Pop,Rock,Rock,0
850,Ambient,Soundtrack,Soundtrack,0
860,Electronic,Hip-Hop,Hip-Hop,0
864,Electronic,Hip-Hop,Hip-Hop,0
872,Balkan,International,International,0
874,Experimental,Soundtrack,Soundtrack,0
877,Reggae - Dub,Electronic,Electronic,0
878,Experimental,Pop,Pop,0
879,Synth Pop,Folk,Folk,0
898,Psych-Folk,Folk,Folk,0
900,Pop,Folk,Folk,0
902,Metal,Rock,Rock,0
907,Pop,Hip-Hop,Hip-Hop,0
913,Instrumental,Folk,Folk,0
915,Rock,Folk,Folk,0
922,Latin America,International,International,0
924,International,Hip-Hop,Hip-Hop,0
929,Electronic,Hip-Hop,Hip-Hop,0
930,Instrumental,Pop,Pop,0
935,International,Folk,Folk,0
936,Ambient Electronic,Hip-Hop,Hip-Hop,0
938,New Age,Folk,Folk,0
939,Experimental,Hip-Hop,Hip-Hop,0
941,Indie-Rock,Rock,Rock,0
942,Experimental Pop,Hip-Hop,Hip-Hop,0
943,Avant-Garde,Soundtrack,Soundtrack,0
949,Ambient Electronic,Soundtrack,Soundtrack,0
963,Experimental Pop,Folk,Folk,0
968,Soundtrack,Electronic,Electronic,0
969,Rock,Folk,Folk,0
989,Audio Collage,Hip-Hop,Hip-Hop,0
996,Electronic,Hip-Hop,Hip-Hop,0
998,Indie-Rock,Soundtrack,Soundtrack,0
1004,Noise,Folk,Folk,0
1025,Experimental,Pop,Pop,0
